Sample,Lat,Long,Age,STD,Ref
08ADb24,64.0892,-143.0378,30.7,1.6,Dusel-bacon et al 2016
08AD-032A,64.053,-143.1248,31.9,1.8,Dusel-bacon et al 2016
91ADb36D,64.0964,-143.2261,33.3,1.6,Dusel-bacon et al 2016
10ADb25,64.2089,-143.7989,36.4,2.7,Dusel-bacon et al 2016
08Adb03,64.2175,-142.9089,36.7,2.4,Dusel-bacon et al 2016
07ADb01A,64.2568,-142.7,36.9,2,Dusel-bacon et al 2016
LWM 07-09-208,64.2341,-142.82328,38.3,5,Dusel-bacon et al 2016
08AD-100,64.1016,-143.1905,39.2,1.9,Dusel-bacon et al 2016
81A5,64.21326,-143.00528,39.6,2.1,Dusel-bacon et al 2016
09AD-319,64.1104,-143.1803,41,2.6,Dusel-bacon et al 2016
09AD-338,64.10511,-143.11206,41.2,1.9,Dusel-bacon et al 2016
08ADb08,64.2144,-142.8842,41.5,2.4,Dusel-bacon et al 2016
08AD-052,64.0286,-143.2464,42.4,2.5,Dusel-bacon et al 2016
10ADb22,64.29611,-143.11194,43.2,2.1,Dusel-bacon et al 2016
10AD-368,64.20405,-142.82817,43.6,2,Dusel-bacon et al 2016
08ADb20,64.0089,-143.3097,44.5,15.8,Dusel-bacon et al 2016
LWM 07-06-124,64.2353,-142.8269,46.6,2.9,Dusel-bacon et al 2016
91ADb35,64.1511,-143.1267,46.7,2.8,Dusel-bacon et al 2016
08ADb19,64.2361,-143.0828,47.4,1.9,Dusel-bacon et al 2016
10ADb17,64.31139,-143.14167,47.5,2.4,Dusel-bacon et al 2016
8A5-4,64.0599,-143.1701,48.7,2.2,Dusel-bacon et al 2016
09AD-240,64.1877,-143.131,48.9,3.9,Dusel-bacon et al 2016
08ADb22,64.093,-143.1458,50.2,2.4,Dusel-bacon et al 2016
10ADb30,64.285,-143.2733,52.8,2.9,Dusel-bacon et al 2016
10ADb23,64.2383,-143.8103,55.5,3.2,Dusel-bacon et al 2016
71AFr965,64.2053,-142.6138,69.1,3,Dusel-bacon et al 2016
91ADb29,64.3314,-143.3317,70.5,2.8,Dusel-bacon et al 2016
91ADb26,64.2342,-143.6367,73,5.5,Dusel-bacon et al 2016
KLB47,60.4302,-139.5452,4.4,0.7,Enkelmann et al 2017
KLB51,60.4403,-139.9197,6,0.4,Enkelmann et al 2017
KLB54,60.5066,-140.023,9.7,1.1,Enkelmann et al 2017
KLB43,60.4037,-138.7664,12.3,1.5,Enkelmann et al 2017
KLB55,60.5497,-140.099,14.3,1.6,Enkelmann et al 2017
KLB57,60.555,-139.8976,14.3,1.1,Enkelmann et al 2017
KLB52,60.4432,-139.9587,14.9,2,Enkelmann et al 2017
KLB42,60.4027,-138.6824,15.8,1.4,Enkelmann et al 2017
KLB53,60.4864,-140.0118,17.9,2.1,Enkelmann et al 2017
KLB64,60.7893,-139.8875,18,1.4,Enkelmann et al 2017
KLB74,61.0072,-140.2107,21.4,1.9,Enkelmann et al 2017
KLB71,60.8329,-139.9355,22.4,1.8,Enkelmann et al 2017
KLB58,60.5873,-139.9023,32,2.5,Enkelmann et al 2017
KLB107,61.5654,-139.3608,37.1,2.8,Enkelmann et al 2017
KLB61,60.6566,-139.925,45.4,3.2,Enkelmann et al 2017
KLB86,60.9575,-138.041,46.2,3.1,Enkelmann et al 2017
KLB05,60.8142,-137.4896,49.2,3.2,Enkelmann et al 2017
KLB59,60.6077,-139.9094,50.4,3.3,Enkelmann et al 2017
KLB62,60.6706,-139.9312,50.4,4.3,Enkelmann et al 2017
KLB98,60.0468,-138.8838,59.4,3.8,Enkelmann et al 2017
KLB68,60.7547,-138.8182,69.4,4.7,Enkelmann et al 2017
KLB63,60.7132,-139.8617,69.9,5.1,Enkelmann et al 2017
KLB88,60.9948,-138.4618,81.6,5.6,Enkelmann et al 2017
KLB84,61.0599,-139.2632,86.4,5.6,Enkelmann et al 2017
KLB60,60.6317,-139.8658,87,8.2,Enkelmann et al 2017
KLB41,60.4277,-138.2428,100.8,6.2,Enkelmann et al 2017
KLB69,60.1031,-139.1031,101.5,7.1,Enkelmann et al 2017
